target,same_day,n_points,n_features,history_years,n_train,model,PI,rmse_cm
12,True,6,55,1.0,357,Gradient boosting,-0.10727169760431687,10.26305171569384
12,True,6,55,2.0,534,Ridge,0.6942883258283552,5.392689675809928
12,True,6,55,2.0,534,Gradient boosting,0.09004314471621422,9.303788266694127
12,True,6,55,3.0,838,Ridge,0.7434065349986614,4.940514899924637
12,True,6,55,3.0,838,Gradient boosting,0.08324949841485974,9.33845425723519
12,True,6,55,5.0,1568,Ridge,0.7696810095223363,4.680737560924779
12,True,6,55,5.0,1568,Gradient boosting,0.3488169579057874,7.870475273090144
12,True,6,55,8.0,2460,Ridge,0.7754965350451882,4.621265729511164
12,True,6,55,8.0,2460,Gradient boosting,0.3981461086052648,7.566498566423337
12,True,6,55,11.0,3313,Ridge,0.7746487017097186,4.629983570420252
12,True,6,55,11.0,3313,Gradient boosting,0.46638111491635914,7.1246742607733395
12,True,8,71,0.5,176,Ridge,0.06960131302044947,9.407710880062229
12,True,8,71,0.5,176,Gradient boosting,-0.10974666229341379,10.274515258309567
12,True,8,71,1.0,357,Ridge,0.5817163016597633,6.307901271447198
12,True,8,71,1.0,357,Gradient boosting,-0.07298154307978133,10.10288811594103
12,True,8,71,2.0,534,Ridge,0.6913001789716811,5.418980728489398
12,True,8,71,2.0,534,Gradient boosting,0.08017361083229502,9.354107361327017
12,True,8,71,3.0,838,Ridge,0.7516079764423925,4.860917390367317
12,True,8,71,3.0,838,Gradient boosting,-0.11809452342313365,10.313086914200923
12,True,8,71,5.0,1568,Ridge,0.7689162608531138,4.6885020560062936
12,True,8,71,5.0,1568,Gradient boosting,0.306771380061295,8.120591418088601
12,True,8,71,8.0,2460,Ridge,0.7758141377119292,4.617995744833158
12,True,8,71,8.0,2460,Gradient boosting,0.3547036419770814,7.834820025436412
12,True,8,71,11.0,3313,Ridge,0.7762141728399252,4.613873751280043
12,True,8,71,11.0,3313,Gradient boosting,0.4024001717132778,7.539710135084256
12,True,all,95,0.5,176,Ridge,0.08235318895104105,9.343018258037409
12,True,all,95,0.5,176,Gradient boosting,-0.0691170846597402,10.08467838604932
12,True,all,95,1.0,357,Ridge,0.3206552004004063,8.03886148046208
12,True,all,95,1.0,357,Gradient boosting,-0.020178788352762433,9.851164299823594
12,True,all,95,2.0,534,Ridge,0.5222832622911169,6.741160178151338
12,True,all,95,2.0,534,Gradient boosting,0.12720149486799293,9.111846912107513
12,True,all,95,3.0,838,Ridge,0.7310204656576577,5.058351868306364
12,True,all,95,3.0,838,Gradient boosting,-0.07883685601872914,10.13041658911314
12,True,all,95,5.0,1568,Ridge,0.7626499073662855,4.751646464341134
12,True,all,95,5.0,1568,Gradient boosting,0.32491916558280254,8.013593471321236
12,True,all,95,8.0,2460,Ridge,0.7688857627242286,4.688811436975495
12,True,all,95,8.0,2460,Gradient boosting,0.3071262699274421,8.118512533537924
