target,model,split,seed,rmse,mae,nse,pi,rmse_monsoon,n,n_monsoon,feature_set,description,n_features,ridge_alpha,lgbm_best_iteration
Bhagyakul,custom,test,sd,7.565171470039863e-05,0.0002967312750124447,2.3748821754686266e-06,0.0005604408125512194,0.0009594356124861504,1096,369,,,,,
Bhagyakul,custom,val,seed_avg_prediction,0.03425882420630754,0.026799064140171018,0.9993773557515178,0.8744413607933568,0.03570336927890377,328,86,,,,,
Bhagyakul,custom,test,seed_avg_prediction,0.034688828565016705,0.025923245451888895,0.9994639654948746,0.8735029397623608,0.02888018398595123,1096,369,,,,,
Bhagyakul,ridge,val,,0.0657770562290231,0.0464383666836318,0.9977046763034709,0.5371390315136366,0.08362950041847664,328,86,A,own WLD-1..7,7.0,0.01,
Bhagyakul,ridge,test,,0.07012315954044276,0.04629708478757799,0.9978095344351399,0.48307907073681744,0.06208641051463673,1096,369,A,own WLD-1..7,7.0,0.01,
Bhagyakul,lightgbm,val,,0.0758498098831016,0.05641706559883126,0.9969478626965772,0.38452461831334916,0.0892391737761106,328,86,A,own WLD-1..7,7.0,,617.0
Bhagyakul,lightgbm,test,,0.07575583238762941,0.05326322284066041,0.9974435009983055,0.3967000162813511,0.07158801081583252,1096,369,A,own WLD-1..7,7.0,,617.0
Bhagyakul,ridge,val,,0.06525694854839371,0.046394808881414444,0.9977408316356078,0.5444298951395802,0.08283012470264718,328,86,B,A + own Rainfall_Level,8.0,0.01,
Bhagyakul,ridge,test,,0.06984772439905285,0.04616811021288582,0.9978267083985258,0.48713189916517274,0.06143643402412845,1096,369,B,A + own Rainfall_Level,8.0,0.01,
Bhagyakul,lightgbm,val,,0.07585700375792737,0.05666042123161974,0.9969472837172766,0.3844078648810476,0.08787812166893348,328,86,B,A + own Rainfall_Level,8.0,,964.0
Bhagyakul,lightgbm,test,,0.07628280798815192,0.05394602649462726,0.9974078100602013,0.38827742649631203,0.07155252775457353,1096,369,B,A + own Rainfall_Level,8.0,,964.0
Bhagyakul,ridge,val,,0.04332193632256365,0.03322363952313144,0.9990043406118738,0.7992214042108633,0.04982808830912374,328,86,C,A + upstream WL and WLD-1..7 (brief layout),95.0,0.01,
